Tenor,1.00%,1.50%,2.00%,2.50%,3.00%,3.50%,4.00%,5.00%,6.00%,7.00%,8.00%,9.00%,10.00%,Forward,ATM Vol
1Yr,51.21,39.01,30.58,24.21,19.34,15.65,14.55,17.95,20.56,22.65,24.39,25.88,27.17,3.46,15.92
2Yr,52.85,41.08,33.17,27.32,22.91,19.77,19.23,21.7,23.49,25.01,26.35,27.53,28.58,3.32,20.72
3Yr,52.07,41.03,33.72,28.43,24.54,21.98,21.62,23.34,24.75,26.02,27.16,28.18,29.09,3.33,22.71
4Yr,50.22,40.03,33.37,28.61,25.17,22.98,22.61,23.75,24.81,25.83,26.77,27.61,28.37,3.36,23.45
5Yr,48.59,39.06,32.89,28.51,25.39,23.41,22.98,23.7,24.49,25.3,26.07,26.79,27.44,3.41,23.67
6Yr,46.98,38.06,32.33,28.28,25.4,23.57,23.06,23.4,23.91,24.5,25.08,25.63,26.15,3.47,23.65
7Yr,45.46,37.08,31.71,27.94,25.25,23.52,22.95,23.02,23.31,23.72,24.17,24.6,25.02,3.53,23.46
8Yr,44.36,36.34,31.23,27.64,25.08,23.42,22.79,22.64,22.77,23.05,23.4,23.75,24.1,3.59,23.23
9Yr,43.3,35.62,30.74,27.32,24.87,23.26,22.58,22.23,22.21,22.36,22.6,22.86,23.13,3.64,22.96
10Yr,42.4,34.97,30.27,26.97,24.61,23.04,22.32,21.85,21.74,21.83,22.02,22.25,22.5,3.7,22.65
12Yr,41.45,34.23,29.69,26.52,24.25,22.71,21.93,21.28,21.07,21.11,21.27,21.49,21.74,3.81,22.15
15Yr,40.67,33.57,29.14,26.07,23.87,22.35,21.5,20.67,20.37,20.36,20.49,20.7,20.94,3.93,21.58
20Yr,40.78,33.41,28.9,25.81,23.61,22.09,21.18,20.28,19.98,20.01,20.21,20.48,20.79,4.04,21.13
25Yr,41.04,33.43,28.86,25.78,23.61,22.12,21.21,20.32,20.06,20.12,20.35,20.64,20.96,4.05,21.15
30Yr,41.75,33.79,29.1,25.98,23.81,22.33,21.43,20.55,20.31,20.39,20.63,20.94,21.27,4.02,21.39
