Tenor,-1.50%,-1.00%,-0.50%,0.00%,1.00%,1.50%,2.00%,2.50%,3.00%,3.50%,4.00%,5.00%,6.00%,7.00%,8.00%,9.00%,10.00%,Forward,ATM Vol
1Yr,133.56,127.34,120.44,112.97,96.58,87.73,78.58,69.41,61.01,54,54.11,73.58,92.26,110.37,127.99,145.2,162.05,3.46,54.53
2Yr,127.27,122.41,116.93,110.98,97.98,91.09,84.09,77.25,71.14,66.76,69.62,87.45,104.19,120.81,137.26,153.48,169.45,3.32,68.01
3Yr,121.34,117.45,112.99,108.11,97.44,91.83,86.24,80.96,76.62,74.41,78.41,94.86,111.01,127.17,143.18,158.97,174.51,3.33,74.81
4Yr,114.41,111.31,107.71,103.75,95.12,90.64,86.26,82.27,79.25,78.35,82.6,97.56,112.6,127.76,142.8,157.65,172.27,3.36,78.28
5Yr,109.28,106.72,103.72,100.4,93.19,89.5,85.95,82.83,80.68,80.54,84.74,98.4,112.41,126.62,140.78,154.77,168.57,3.41,80.34
6Yr,104.36,102.33,99.9,97.19,91.31,88.32,85.49,83.06,81.55,81.88,85.91,98.32,111.12,124.14,137.15,150.04,162.76,3.47,81.77
7Yr,100.16,98.55,96.56,94.34,89.51,87.08,84.81,82.93,81.89,82.53,86.38,97.76,109.58,121.65,133.73,145.73,157.59,3.53,82.64
8Yr,97.41,96.08,94.41,92.5,88.36,86.3,84.39,82.85,82.11,82.92,86.57,97.1,108.12,119.44,130.83,142.17,153.4,3.59,83.3
9Yr,94.63,93.59,92.23,90.65,87.19,85.47,83.89,82.65,82.15,83.07,86.53,96.27,106.48,117.01,127.63,138.23,148.76,3.64,83.76
10Yr,92.9,92,90.79,89.37,86.28,84.76,83.38,82.34,81.99,82.98,86.27,95.45,105.18,115.29,125.54,135.81,146.02,3.7,83.98
12Yr,92.11,91.21,90.02,88.66,85.75,84.36,83.14,82.26,82.06,83.06,86.07,94.43,103.57,113.24,123.17,133.2,143.22,3.81,84.65
15Yr,91.71,90.8,89.61,88.27,85.47,84.16,83.04,82.27,82.13,83.09,85.76,93.25,101.73,110.92,120.48,130.2,139.98,3.93,85.3
20Yr,92.61,91.46,90.06,88.53,85.47,84.1,82.96,82.2,82.07,82.95,85.3,92.18,100.42,109.57,119.22,129.1,139.08,4.04,85.52
25Yr,89.96,89.03,87.85,86.55,83.96,82.84,81.96,81.47,81.57,82.61,84.96,91.75,99.98,109.12,118.73,128.57,138.48,4.05,85.26
30Yr,87.32,86.6,85.63,84.54,82.42,81.56,80.96,80.74,81.09,82.3,84.71,91.54,99.79,108.91,118.47,128.23,138.04,4.02,84.86
